step,train/mf_minDist_mean,train/mf_maxW_mean,train/mf_entropy_mean,train/prompt_utilization/p0,train/prompt_utilization/p1,train/prompt_utilization/p2,train/acc_per_prompt/p0,train/acc_per_prompt/p1,train/acc_per_prompt/p2,train/acc_top_prompt,train/weighted_margin_mean,train/mf_sqdist_mean_all
2800,0.0025997161865234375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.8125,0.8125,0.8125,0.8125,3.78125,0.003208160400390625
2850,0.002658843994140625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.71875,0.71875,0.71875,0.71875,2.73046875,0.003162384033203125
2900,0.002544403076171875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.84375,0.84375,0.84375,0.84375,3.83203125,0.003177642822265625
2950,0.0025482177734375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.75,0.75,0.75,0.75,2.640625,0.003124237060546875
3000,0.002590179443359375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.84375,0.84375,0.84375,0.84375,3.337890625,0.0032100677490234375
3050,0.0026340484619140625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.71875,0.71875,0.71875,0.71875,2.85546875,0.003200531005859375
3100,0.0026454925537109375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.6875,0.6875,0.6875,0.6875,3.302734375,0.003200531005859375
3150,0.002613067626953125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.84375,0.84375,0.84375,0.84375,2.978515625,0.0031871795654296875
3200,0.002696990966796875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.6875,0.6875,0.6875,0.6875,2.443359375,0.00315093994140625
3250,0.00270843505859375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.71875,0.71875,0.71875,0.71875,2.69140625,0.0032596588134765625
3300,0.0027217864990234375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.6875,0.6875,0.6875,0.6875,2.32421875,0.003223419189453125
3350,0.0026454925537109375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.78125,0.78125,0.78125,0.78125,2.462890625,0.00318145751953125
3400,0.002582550048828125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.875,0.875,0.875,0.875,2.876953125,0.003208160400390625
3450,0.0026187896728515625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.78125,0.78125,0.78125,0.78125,3.162109375,0.003200531005859375
3500,0.00261688232421875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.8125,0.8125,0.8125,0.8125,3.595703125,0.003231048583984375
3550,0.00262451171875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.75,0.75,0.75,0.75,2.6953125,0.003177642822265625
3600,0.00260162353515625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.8125,0.8125,0.8125,0.8125,3.15625,0.0031566619873046875
3650,0.0025882720947265625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.75,0.75,0.75,0.75,2.78515625,0.003173828125
3700,0.002628326416015625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.875,0.875,0.875,0.875,3.208984375,0.0032558441162109375
3750,0.002674102783203125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.65625,0.65625,0.65625,0.65625,2.927734375,0.0032196044921875
3800,0.00262451171875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.65625,0.65625,0.65625,0.65625,2.76171875,0.003154754638671875
3850,0.002635955810546875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.75,0.75,0.75,0.75,3.361328125,0.0032253265380859375
3900,0.0026111602783203125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.8125,0.8125,0.8125,0.8125,3.3359375,0.003200531005859375
3950,0.0026760101318359375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.6875,0.6875,0.6875,0.6875,2.50390625,0.0031719207763671875
4000,0.0026912689208984375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.625,0.625,0.625,0.625,2.662109375,0.0032024383544921875
4050,0.002620697021484375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.71875,0.71875,0.71875,0.71875,2.939453125,0.003177642822265625
4100,0.0026149749755859375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.8125,0.8125,0.8125,0.8125,3.345703125,0.003185272216796875
4150,0.002628326416015625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.71875,0.71875,0.71875,0.71875,2.638671875,0.0031719207763671875
4200,0.00264739990234375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.78125,0.78125,0.78125,0.78125,3.10546875,0.0032176971435546875
4250,0.002628326416015625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.71875,0.71875,0.71875,0.71875,2.71484375,0.0031719207763671875
4300,0.0026607513427734375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.78125,0.78125,0.78125,0.78125,3.201171875,0.003223419189453125
4350,0.0026569366455078125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.8125,0.8125,0.8125,0.8125,2.947265625,0.0032901763916015625
4400,0.002651214599609375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.78125,0.78125,0.78125,0.78125,3.08984375,0.00322723388671875
4450,0.0027008056640625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.6875,0.6875,0.6875,0.6875,2.556640625,0.00322723388671875
4500,0.0026702880859375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.75,0.75,0.75,0.75,3.482421875,0.00323486328125
4550,0.0026264190673828125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.71875,0.71875,0.71875,0.71875,2.396484375,0.0032138824462890625
4600,0.0025730133056640625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.75,0.75,0.75,0.75,2.970703125,0.0031414031982421875
4650,0.002651214599609375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.65625,0.65625,0.65625,0.65625,3.373046875,0.0031948089599609375
4700,0.002780914306640625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.59375,0.59375,0.59375,0.59375,2.419921875,0.003208160400390625
